Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:20:18.000926]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:19.000603]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:21.000461]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:22.000421]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:28.000073]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:35.000758]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:39.000193]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:42.000273]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:20:46.000331]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:20:47.000447]0;0;0;0;0;0;;0;
[2023-12-19 16:20:50.000997]0;0;0;0;0;0;;0;
